Setor;Codigo;Acao;Tipo;Qtde_Teorica;Part_percentual;Part_Acum_percentual
Bens Indls / Maqs e Equips;WEGE3;WEG;ON      NM;1482105837;3.328;3.328
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734632601;1.35;1.35
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;332825777;0.133;2.046
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995335937;0.598;2.046
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1218352541;1.315;2.046
Cons N  Basico / Alimentos Processados;BRFS3;BRF SA;ON      NM;835221269;0.839;3.005
Cons N  Basico / Alimentos Processados;JBSS3;JBS;ON      NM;1134986472;1.694;3.005
Cons N  Basico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331799687;0.178;3.005
Cons N  Basico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261036182;0.081;3.005
Cons N  Basico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142348116;0.213;3.005
Cons N Ciclico / Bebidas;ABEV3;AMBEV S/A;ON;4394245879;2.47;2.47
Cons N Ciclico / Comercio Distr.;ASAI3;ASSAI;ON      NM;1349217892;0.687;1.01
Cons N Ciclico / Comercio Distr.;CRFB3;CARREFOUR BR;ON      NM;533990587;0.272;1.01
Cons N Ciclico / Comercio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379400826;0.051;1.01
Cons N Ciclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849346756;0.608;0.608
Cons N Ciclico/Agropecuaria;SLCE3;SLC AGRICOLA;ON      NM;194217908;0.176;0.176
Consumo Ciclico / Comercio;ARZZ3;AREZZO CO;ON      NM;62305891;0.158;1.187
Consumo Ciclico / Comercio;SOMA3;GRUPO SOMA;ON      NM;496029967;0.151;1.187
Consumo Ciclico / Comercio;LREN3;LOJAS RENNER;ON      NM;951452770;0.614;1.187
Consumo Ciclico / Comercio;MGLU3;MAGAZ LUIZA;ON      NM;351757412;0.206;1.187
Consumo Ciclico / Comercio;PETZ3;PETZ;ON      NM;314729428;0.058;1.187
